Entry,Entry name,Status,Protein names,Gene names,Organism,Length,Gene ontology (biological process),Gene ontology (cellular component),Gene ontology (GO),Gene ontology (molecular function),Gene ontology IDs,Cross-reference (KEGG),Cross-reference (KO),Cross-reference (Pfam),yourlist:M2018112014483A1C7ED25EE8374758DF3FD545FD0244567
A0A2B4RCG5,A0A2B4RCG5_STYPI,unreviewed,SHC-transforming protein 4,SHC4 AWC38_SpisGene19697,Stylophora pistillata (Smooth cauliflower coral),550,intracellular signal transduction [GO:0035556],intracellular [GO:0005622],intracellular [GO:0005622]; intracellular signal transduction [GO:0035556],,GO:0005622; GO:0035556,,,PF00640;PF00017;,A0A2B4RCG5
A0A2B4RZ02,A0A2B4RZ02_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene13123,Stylophora pistillata (Smooth cauliflower coral),118,,,,,,,,PF15134;,A0A2B4RZ02
A7RZ68,A7RZ68_NEMVE,unreviewed,Predicted protein,v1g241712,Nematostella vectensis (Starlet sea anemone),397,cation transport [GO:0006812]; ion transmembrane transport [GO:0034220]; response to ATP [GO:0033198],integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; postsynapse [GO:0098794],integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; postsynapse [GO:0098794]; ATP-gated ion channel activity [GO:0035381]; extracellularly ATP-gated cation channel activity [GO:0004931]; purinergic nucleotide receptor activity [GO:0001614]; cation transport [GO:0006812]; ion transmembrane transport [GO:0034220]; response to ATP [GO:0033198],ATP-gated ion channel activity [GO:0035381]; extracellularly ATP-gated cation channel activity [GO:0004931]; purinergic nucleotide receptor activity [GO:0001614],GO:0001614; GO:0004931; GO:0005887; GO:0006812; GO:0016021; GO:0033198; GO:0034220; GO:0035381; GO:0098794,nve:NEMVE_v1g241712;,,PF00864;,A7RZ68
A0A2B4S2F4,A0A2B4S2F4_STYPI,unreviewed,Arylsulfatase B,Arsb AWC38_SpisGene12731,Stylophora pistillata (Smooth cauliflower coral),1009,,,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; sulfuric ester hydrolase activity [GO:0008484]","heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; sulfuric ester hydrolase activity [GO:0008484]",GO:0005506; GO:0008484; GO:0016705; GO:0020037,,,PF00067;PF00884;,A0A2B4S2F4
A0A2B4SRG8,A0A2B4SRG8_STYPI,unreviewed,Mitochondrial 2-oxoglutarate/malate carrier protein,SLC25A11 AWC38_SpisGene3202,Stylophora pistillata (Smooth cauliflower coral),309,mitochondrial transport [GO:0006839],integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966],integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; mitochondrial transport [GO:0006839],,GO:0006839; GO:0016021; GO:0031966,,,PF00153;,A0A2B4SRG8
A0A2B4SJD0,A0A2B4SJD0_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene6565,Stylophora pistillata (Smooth cauliflower coral),356,,,,,,,,,A0A2B4SJD0
A0A1B4Z126,A0A1B4Z126_ACRDI,unreviewed,Mef2 transcription factor,mef2,Acropora digitifera (Staghorn coral),480,"positive regulation of transcription by RNA polymerase II [GO:0045944]; transcription, DNA-templated [GO:0006351]",nucleus [GO:0005634],"nucleus [GO:0005634]; protein dimerization activity [GO:0046983]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; positive regulation of transcription by RNA polymerase II [GO:0045944]; transcription, DNA-templated [GO:0006351]",protein dimerization activity [GO:0046983]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977],GO:0000977; GO:0005634; GO:0006351; GO:0045944; GO:0046983,adf:107342930;,K09260;,PF12347;PF00319;,A0A1B4Z126
A0A2B4RJ90,A0A2B4RJ90_STYPI,unreviewed,Putative peptidyl-tRNA hydrolase 2,C24G6.8 AWC38_SpisGene19402,Stylophora pistillata (Smooth cauliflower coral),234,,,aminoacyl-tRNA hydrolase activity [GO:0004045],aminoacyl-tRNA hydrolase activity [GO:0004045],GO:0004045,,,PF01981;,A0A2B4RJ90
A0A2B4SS83,A0A2B4SS83_STYPI,unreviewed,NmrA-like family domain-containing protein 1,NMRAL1 AWC38_SpisGene3195,Stylophora pistillata (Smooth cauliflower coral),312,,,,,,,,PF05368;,A0A2B4SS83
A0A2B4SB61,A0A2B4SB61_STYPI,unreviewed,Retinol dehydrogenase 8,RDH8 AWC38_SpisGene8983,Stylophora pistillata (Smooth cauliflower coral),288,,,oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491],GO:0016491,,,PF00106;,A0A2B4SB61
A0A2B4S9B9,A0A2B4S9B9_STYPI,unreviewed,Programmed cell death protein 10,pdcd10 AWC38_SpisGene10341,Stylophora pistillata (Smooth cauliflower coral),546,,,,,,,,,A0A2B4S9B9
A7S6Q0,A7S6Q0_NEMVE,unreviewed,Predicted protein,v1g137658 v1g236976,Nematostella vectensis (Starlet sea anemone),153,postreplication repair [GO:0006301]; protein K63-linked ubiquitination [GO:0070534],nucleus [GO:0005634],nucleus [GO:0005634]; ATP binding [GO:0005524]; ubiquitin conjugating enzyme activity [GO:0061631]; postreplication repair [GO:0006301]; protein K63-linked ubiquitination [GO:0070534],ATP binding [GO:0005524]; ubiquitin conjugating enzyme activity [GO:0061631],GO:0005524; GO:0005634; GO:0006301; GO:0061631; GO:0070534,nve:NEMVE_v1g137658;nve:NEMVE_v1g236976;,K10580;,PF00179;,A7S6Q0
A0A2B4S7X1,A0A2B4S7X1_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene9346,Stylophora pistillata (Smooth cauliflower coral),643,,integral component of membrane [GO:0016021],integral component of membrane [GO:0016021],,GO:0016021,,,PF16041;,A0A2B4S7X1
A0A2B4SUJ3,A0A2B4SUJ3_STYPI,unreviewed,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,SMARCA5 AWC38_SpisGene864,Stylophora pistillata (Smooth cauliflower coral),1027,ATP-dependent chromatin remodeling [GO:0043044],NURF complex [GO:0016589],NURF complex [GO:0016589]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; nucleosome binding [GO:0031491]; ATP-dependent chromatin remodeling [GO:0043044],ATPase activity [GO:0016887]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; nucleosome binding [GO:0031491],GO:0003677; GO:0004386; GO:0005524; GO:0016589; GO:0016887; GO:0031491; GO:0043044,,,PF09110;PF00271;PF09111;PF00176;,A0A2B4SUJ3
A0A2B4SWD0,A0A2B4SWD0_STYPI,unreviewed,Proteasome subunit alpha type (EC 3.4.25.1),PSMA2 AWC38_SpisGene1902,Stylophora pistillata (Smooth cauliflower coral),234,ubiquitin-dependent protein catabolic process [GO:0006511],"cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex, alpha-subunit complex [GO:0019773]","cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex, alpha-subunit complex [GO:0019773]; threonine-type endopeptidase activity [GO:0004298]; ubiquitin-dependent protein catabolic process [GO:0006511]",threonine-type endopeptidase activity [GO:0004298],GO:0004298; GO:0005634; GO:0005737; GO:0006511; GO:0019773,,,PF00227;PF10584;,A0A2B4SWD0
A7RVC0,A7RVC0_NEMVE,unreviewed,Clathrin heavy chain,v1g163153,Nematostella vectensis (Starlet sea anemone),1677,clathrin coat assembly [GO:0048268]; intracellular protein transport [GO:0006886]; receptor-mediated endocytosis [GO:0006898],clathrin-coated endocytic vesicle [GO:0045334]; clathrin coat of coated pit [GO:0030132]; clathrin coat of trans-Golgi network vesicle [GO:0030130]; clathrin complex [GO:0071439],clathrin coat of coated pit [GO:0030132]; clathrin coat of trans-Golgi network vesicle [GO:0030130]; clathrin complex [GO:0071439]; clathrin-coated endocytic vesicle [GO:0045334]; clathrin light chain binding [GO:0032051]; identical protein binding [GO:0042802]; structural molecule activity [GO:0005198]; clathrin coat assembly [GO:0048268]; intracellular protein transport [GO:0006886]; receptor-mediated endocytosis [GO:0006898],clathrin light chain binding [GO:0032051]; identical protein binding [GO:0042802]; structural molecule activity [GO:0005198],GO:0005198; GO:0006886; GO:0006898; GO:0030130; GO:0030132; GO:0032051; GO:0042802; GO:0045334; GO:0048268; GO:0071439,nve:NEMVE_v1g163153;,K04646;,PF00637;PF09268;PF01394;,A7RVC0
A7RK57,A7RK57_NEMVE,unreviewed,Predicted protein (Fragment),v1g61368,Nematostella vectensis (Starlet sea anemone),366,protein folding [GO:0006457],endoplasmic reticulum [GO:0005783],endoplasmic reticulum [GO:0005783]; calcium ion binding [GO:0005509]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457],calcium ion binding [GO:0005509]; unfolded protein binding [GO:0051082],GO:0005509; GO:0005783; GO:0006457; GO:0051082,nve:NEMVE_v1g61368;,K08057;,PF00262;,A7RK57
A0A2B4S8A7,A0A2B4S8A7_STYPI,unreviewed,Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77),Pcmt1 AWC38_SpisGene10701,Stylophora pistillata (Smooth cauliflower coral),274,,,protein-L-isoaspartate (D-aspartate) O-methyltransferase activity [GO:0004719],protein-L-isoaspartate (D-aspartate) O-methyltransferase activity [GO:0004719],GO:0004719,,,,A0A2B4S8A7
A0A2B4RM43,A0A2B4RM43_STYPI,unreviewed,Uridine 5'-monophosphate synthase,Umps AWC38_SpisGene18274,Stylophora pistillata (Smooth cauliflower coral),454,'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205],,orotate phosphoribosyltransferase activity [GO:0004588]; orotidine-5'-phosphate decarboxylase activity [GO:0004590]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205],orotate phosphoribosyltransferase activity [GO:0004588]; orotidine-5'-phosphate decarboxylase activity [GO:0004590],GO:0004588; GO:0004590; GO:0006207; GO:0044205,,,PF00215;PF00156;,A0A2B4RM43
A0A2B4SYR2,A0A2B4SYR2_STYPI,unreviewed,Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8),Ppib AWC38_SpisGene567,Stylophora pistillata (Smooth cauliflower coral),203,protein folding [GO:0006457],,peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457],peptidyl-prolyl cis-trans isomerase activity [GO:0003755],GO:0003755; GO:0006457,,,PF00160;,A0A2B4SYR2
A0A2B4S448,A0A2B4S448_STYPI,unreviewed,Peptidylprolyl isomerase (EC 5.2.1.8),Fkbp14 AWC38_SpisGene12057,Stylophora pistillata (Smooth cauliflower coral),216,,,calcium ion binding [GO:0005509]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755],calcium ion binding [GO:0005509]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755],GO:0003755; GO:0005509,,,PF13499;PF00254;,A0A2B4S448
A0A2B4RM40,A0A2B4RM40_STYPI,unreviewed,Beta-lactamase-like protein 2,AWC38_SpisGene17401,Stylophora pistillata (Smooth cauliflower coral),903,,integral component of membrane [GO:0016021],integral component of membrane [GO:0016021],,GO:0016021,,,PF00144;,A0A2B4RM40
A0A2B4SRB4,A0A2B4SRB4_STYPI,unreviewed,N-acetylated-alpha-linked acidic dipeptidase 2,Naalad2 AWC38_SpisGene4025,Stylophora pistillata (Smooth cauliflower coral),749,,integral component of membrane [GO:0016021],integral component of membrane [GO:0016021],,GO:0016021,,,PF04389;PF04253;,A0A2B4SRB4
A0A2B4SS11,A0A2B4SS11_STYPI,unreviewed,IQ domain-containing protein D,Iqcd AWC38_SpisGene3321,Stylophora pistillata (Smooth cauliflower coral),497,,,,,,,,,A0A2B4SS11
A0A2B4SJ43,A0A2B4SJ43_STYPI,unreviewed,Interferon-inducible GTPase 5,IRGC AWC38_SpisGene6812,Stylophora pistillata (Smooth cauliflower coral),407,,integral component of membrane [GO:0016021],integral component of membrane [GO:0016021]; GTP binding [GO:0005525],GTP binding [GO:0005525],GO:0005525; GO:0016021,,,PF05049;,A0A2B4SJ43
A0A2B4RE19,A0A2B4RE19_STYPI,unreviewed,Proteasome inhibitor PI31 subunit,PSMF1 AWC38_SpisGene21311,Stylophora pistillata (Smooth cauliflower coral),301,,proteasome complex [GO:0000502],proteasome complex [GO:0000502],,GO:0000502,,,PF11566;,A0A2B4RE19
A0A2B4SJG5,A0A2B4SJG5_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene5180,Stylophora pistillata (Smooth cauliflower coral),1461,,,,,,,,,A0A2B4SJG5
A0A2B4S4Z7,A0A2B4S4Z7_STYPI,unreviewed,Golgi SNAP receptor complex member 1,GOSR1 AWC38_SpisGene11271,Stylophora pistillata (Smooth cauliflower coral),250,ER to Golgi vesicle-mediated transport [GO:0006888]; protein transport [GO:0015031],cis-Golgi network [GO:0005801]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021],cis-Golgi network [GO:0005801]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; ER to Golgi vesicle-mediated transport [GO:0006888]; protein transport [GO:0015031],,GO:0000139; GO:0005801; GO:0006888; GO:0015031; GO:0016021,,,,A0A2B4S4Z7
A7RU18,A7RU18_NEMVE,unreviewed,Predicted protein,v1g181966,Nematostella vectensis (Starlet sea anemone),271,actin cytoskeleton organization [GO:0030036]; barbed-end actin filament capping [GO:0051016]; cell morphogenesis [GO:0000902]; negative regulation of filopodium assembly [GO:0051490]; regulation of lamellipodium assembly [GO:0010591],actin filament [GO:0005884]; cytoplasm [GO:0005737]; F-actin capping protein complex [GO:0008290],actin filament [GO:0005884]; cytoplasm [GO:0005737]; F-actin capping protein complex [GO:0008290]; actin filament binding [GO:0051015]; actin cytoskeleton organization [GO:0030036]; barbed-end actin filament capping [GO:0051016]; cell morphogenesis [GO:0000902]; negative regulation of filopodium assembly [GO:0051490]; regulation of lamellipodium assembly [GO:0010591],actin filament binding [GO:0051015],GO:0000902; GO:0005737; GO:0005884; GO:0008290; GO:0010591; GO:0030036; GO:0051015; GO:0051016; GO:0051490,nve:NEMVE_v1g181966;,K10365;,PF01115;,A7RU18
A0A2B4SR37,A0A2B4SR37_STYPI,unreviewed,Glutathione synthetase (GSH-S) (EC 6.3.2.3),gss AWC38_SpisGene1994,Stylophora pistillata (Smooth cauliflower coral),491,,,ATP binding [GO:0005524]; glutathione binding [GO:0043295]; glutathione synthase activity [GO:0004363]; magnesium ion binding [GO:0000287]; protein homodimerization activity [GO:0042803],ATP binding [GO:0005524]; glutathione binding [GO:0043295]; glutathione synthase activity [GO:0004363]; magnesium ion binding [GO:0000287]; protein homodimerization activity [GO:0042803],GO:0000287; GO:0004363; GO:0005524; GO:0042803; GO:0043295,,,PF03917;PF03199;,A0A2B4SR37
A0A2B4SDV7,A0A2B4SDV7_STYPI,unreviewed,CUGBP Elav-like family member 4,celf4 AWC38_SpisGene7210,Stylophora pistillata (Smooth cauliflower coral),500,,,RNA binding [GO:0003723],RNA binding [GO:0003723],GO:0003723,,,PF00076;,A0A2B4SDV7
A7S5R7,A7S5R7_NEMVE,unreviewed,Predicted protein,v1g185991,Nematostella vectensis (Starlet sea anemone),335,signal transduction by protein phosphorylation [GO:0023014],intracellular [GO:0005622],intracellular [GO:0005622]; signal transduction by protein phosphorylation [GO:0023014],,GO:0005622; GO:0023014,nve:NEMVE_v1g185991;,K08272;,PF08569;,A7S5R7
A0A2B4S0C5,A0A2B4S0C5_STYPI,unreviewed,Demethylmenaquinone methyltransferase,ubiE AWC38_SpisGene13556,Stylophora pistillata (Smooth cauliflower coral),194,,,methyltransferase activity [GO:0008168],methyltransferase activity [GO:0008168],GO:0008168,,,,A0A2B4S0C5
A7RXR7,A7RXR7_NEMVE,unreviewed,Predicted protein,v1g163941,Nematostella vectensis (Starlet sea anemone),352,purine ribonucleoside salvage [GO:0006166],cytosol [GO:0005829]; nucleus [GO:0005634],cytosol [GO:0005829]; nucleus [GO:0005634]; adenosine kinase activity [GO:0004001]; purine ribonucleoside salvage [GO:0006166],adenosine kinase activity [GO:0004001],GO:0004001; GO:0005634; GO:0005829; GO:0006166,nve:NEMVE_v1g163941;,K00856;,PF00294;,A7RXR7
A0A2B4S6D6,A0A2B4S6D6_STYPI,unreviewed,Nephrocystin-3,NPHP3 AWC38_SpisGene10774,Stylophora pistillata (Smooth cauliflower coral),1116,,,ADP binding [GO:0043531],ADP binding [GO:0043531],GO:0043531,,,PF00931;PF13181;,A0A2B4S6D6
A7S6D8,A7S6D8_NEMVE,unreviewed,Predicted protein,v1g186249,Nematostella vectensis (Starlet sea anemone),241,,mitochondrion [GO:0005739],mitochondrion [GO:0005739],,GO:0005739,nve:NEMVE_v1g186249;,,PF07978;,A7S6D8
A0A2B4SB49,A0A2B4SB49_STYPI,unreviewed,Epidermal retinol dehydrogenase 2,SDR16C5 AWC38_SpisGene8181,Stylophora pistillata (Smooth cauliflower coral),306,,,,,,,,PF00106;,A0A2B4SB49
K1RR14,K1RR14_CRAGI,unreviewed,Cystathionine gamma-synthase,CGI_10027044,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),575,,,catalytic activity [GO:0003824]; pyridoxal phosphate binding [GO:0030170],catalytic activity [GO:0003824]; pyridoxal phosphate binding [GO:0030170],GO:0003824; GO:0030170,,,PF01053;,K1RR14
A0A2B4RT39,A0A2B4RT39_STYPI,unreviewed,Cystathionine gamma-synthase,metB AWC38_SpisGene15212,Stylophora pistillata (Smooth cauliflower coral),338,,,catalytic activity [GO:0003824]; pyridoxal phosphate binding [GO:0030170],catalytic activity [GO:0003824]; pyridoxal phosphate binding [GO:0030170],GO:0003824; GO:0030170,,,PF01053;,A0A2B4RT39
A0A2B4T0Y9,A0A2B4T0Y9_STYPI,unreviewed,Tropomyosin isoforms a/b/d/f,lev-11 AWC38_SpisGene170,Stylophora pistillata (Smooth cauliflower coral),242,,,,,,,,PF00261;,A0A2B4T0Y9
A0A2B4RFF0,A0A2B4RFF0_STYPI,unreviewed,Ribokinase (RK) (EC 2.7.1.15),Rbks AWC38_SpisGene18596,Stylophora pistillata (Smooth cauliflower coral),326,D-ribose catabolic process [GO:0019303],cytoplasm [GO:0005737]; nucleus [GO:0005634],cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; ribokinase activity [GO:0004747]; D-ribose catabolic process [GO:0019303],ATP binding [GO:0005524]; metal ion binding [GO:0046872]; ribokinase activity [GO:0004747],GO:0004747; GO:0005524; GO:0005634; GO:0005737; GO:0019303; GO:0046872,,,PF00294;,A0A2B4RFF0
A0A2B4S389,A0A2B4S389_STYPI,unreviewed,Phosphoethanolamine N-methyltransferase 1,NMT1 AWC38_SpisGene12403,Stylophora pistillata (Smooth cauliflower coral),267,,,methyltransferase activity [GO:0008168],methyltransferase activity [GO:0008168],GO:0008168,,,,A0A2B4S389
A7S7Y8,A7S7Y8_NEMVE,unreviewed,Predicted protein,v1g186779,Nematostella vectensis (Starlet sea anemone),215,glutathione metabolic process [GO:0006749]; L-phenylalanine catabolic process [GO:0006559],mitochondrion [GO:0005739],mitochondrion [GO:0005739]; glutathione transferase activity [GO:0004364]; maleylacetoacetate isomerase activity [GO:0016034]; glutathione metabolic process [GO:0006749]; L-phenylalanine catabolic process [GO:0006559],glutathione transferase activity [GO:0004364]; maleylacetoacetate isomerase activity [GO:0016034],GO:0004364; GO:0005739; GO:0006559; GO:0006749; GO:0016034,nve:NEMVE_v1g186779;,K01800;,PF14497;PF13417;,A7S7Y8
A0A2B4SMK3,A0A2B4SMK3_STYPI,unreviewed,Thioredoxin,TXN AWC38_SpisGene4030,Stylophora pistillata (Smooth cauliflower coral),151,cell redox homeostasis [GO:0045454]; glycerol ether metabolic process [GO:0006662],cell [GO:0005623],cell [GO:0005623]; protein disulfide oxidoreductase activity [GO:0015035]; cell redox homeostasis [GO:0045454]; glycerol ether metabolic process [GO:0006662],protein disulfide oxidoreductase activity [GO:0015035],GO:0005623; GO:0006662; GO:0015035; GO:0045454,,,PF00085;,A0A2B4SMK3
A0A2B4S141,A0A2B4S141_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene12708,Stylophora pistillata (Smooth cauliflower coral),1112,,,,,,,,,A0A2B4S141
A0A2B4STZ8,A0A2B4STZ8_STYPI,unreviewed,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",HADH AWC38_SpisGene2264,Stylophora pistillata (Smooth cauliflower coral),330,fatty acid metabolic process [GO:0006631],,3-hydroxyacyl-CoA dehydrogenase activity [GO:0003857]; NAD+ binding [GO:0070403]; fatty acid metabolic process [GO:0006631],3-hydroxyacyl-CoA dehydrogenase activity [GO:0003857]; NAD+ binding [GO:0070403],GO:0003857; GO:0006631; GO:0070403,,,PF00725;PF02737;,A0A2B4STZ8
A0A2B4S8L5,A0A2B4S8L5_STYPI,unreviewed,Microtubule-associated proteins 1A/1B light chain 3C,MAP1LC3C AWC38_SpisGene9960,Stylophora pistillata (Smooth cauliflower coral),126,autophagy [GO:0006914],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; autophagy [GO:0006914],,GO:0005737; GO:0006914,,,PF02991;,A0A2B4S8L5
C3XQT0,C3XQT0_BRAFL,unreviewed,Uncharacterized protein (Fragment),BRAFLDRAFT_226962,Branchiostoma floridae (Florida lancelet) (Amphioxus),192,,cytoplasm [GO:0005737],cytoplasm [GO:0005737]; translation initiation factor activity [GO:0003743],translation initiation factor activity [GO:0003743],GO:0003743; GO:0005737,bfo:BRAFLDRAFT_226962;,,PF01652;,C3XQT0
A0A2B4RQU1,A0A2B4RQU1_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene17026,Stylophora pistillata (Smooth cauliflower coral),527,,,,,,,,PF13439;,A0A2B4RQU1
A0A2B4ST55,A0A2B4ST55_STYPI,unreviewed,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase,Acmsd AWC38_SpisGene1274,Stylophora pistillata (Smooth cauliflower coral),593,,,ATP binding [GO:0005524]; carboxy-lyase activity [GO:0016831]; hydrolase activity [GO:0016787]; protein kinase activity [GO:0004672],ATP binding [GO:0005524]; carboxy-lyase activity [GO:0016831]; hydrolase activity [GO:0016787]; protein kinase activity [GO:0004672],GO:0004672; GO:0005524; GO:0016787; GO:0016831,,,PF04909;PF00069;,A0A2B4ST55
A0A2B4STP1,A0A2B4STP1_STYPI,unreviewed,Integrator complex subunit 11,CPSF3L AWC38_SpisGene3198,Stylophora pistillata (Smooth cauliflower coral),620,,,,,,,,PF10996;PF16661;PF07521;,A0A2B4STP1
A0A2B4SUT2,A0A2B4SUT2_STYPI,unreviewed,Proteasome subunit beta (EC 3.4.25.1),PSMB8 AWC38_SpisGene2918,Stylophora pistillata (Smooth cauliflower coral),279,proteolysis involved in cellular protein catabolic process [GO:0051603],cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex [GO:0005839],cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex [GO:0005839]; threonine-type endopeptidase activity [GO:0004298]; proteolysis involved in cellular protein catabolic process [GO:0051603],threonine-type endopeptidase activity [GO:0004298],GO:0004298; GO:0005634; GO:0005737; GO:0005839; GO:0051603,,,PF00227;,A0A2B4SUT2
A0A2B4RQI4,A0A2B4RQI4_STYPI,unreviewed,Proteasome subunit beta (EC 3.4.25.1),psmb1-B AWC38_SpisGene17119,Stylophora pistillata (Smooth cauliflower coral),222,proteolysis involved in cellular protein catabolic process [GO:0051603],cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex [GO:0005839],cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex [GO:0005839]; threonine-type endopeptidase activity [GO:0004298]; proteolysis involved in cellular protein catabolic process [GO:0051603],threonine-type endopeptidase activity [GO:0004298],GO:0004298; GO:0005634; GO:0005737; GO:0005839; GO:0051603,,,PF00227;,A0A2B4RQI4
A0A2B4SWR0,A0A2B4SWR0_STYPI,unreviewed,Multidrug resistance-associated protein 1,ABCC1 AWC38_SpisGene1542,Stylophora pistillata (Smooth cauliflower coral),1454,,integral component of membrane [GO:0016021],"integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase activity, coupled to transmembrane movement of substances [GO:0042626]","ATPase activity, coupled to transmembrane movement of substances [GO:0042626]; ATP binding [GO:0005524]",GO:0005524; GO:0016021; GO:0042626,,,PF00664;PF00005;,A0A2B4SWR0
A0A2B4RVR7,A0A2B4RVR7_STYPI,unreviewed,Beclin-1,BECN1 AWC38_SpisGene14264,Stylophora pistillata (Smooth cauliflower coral),446,autophagy [GO:0006914]; endocytosis [GO:0006897]; regulation of cytokinesis [GO:0032465],,autophagy [GO:0006914]; endocytosis [GO:0006897]; regulation of cytokinesis [GO:0032465],,GO:0006897; GO:0006914; GO:0032465,,,PF04111;PF15285;,A0A2B4RVR7
A0A2B4S472,A0A2B4S472_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene11562,Stylophora pistillata (Smooth cauliflower coral),506,signal transduction [GO:0007165],,signal transduction [GO:0007165],,GO:0007165,,,PF13676;,A0A2B4S472
A0A2B4RNV5,A0A2B4RNV5_STYPI,unreviewed,26S proteasome non-ATPase regulatory subunit 13,PSMD13 AWC38_SpisGene17645,Stylophora pistillata (Smooth cauliflower coral),376,,proteasome complex [GO:0000502],proteasome complex [GO:0000502],,GO:0000502,,,PF01399;,A0A2B4RNV5
A0A2B4SJL6,A0A2B4SJL6_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene4326,Stylophora pistillata (Smooth cauliflower coral),268,,,,,,,,,A0A2B4SJL6
A0A2B4SH89,A0A2B4SH89_STYPI,unreviewed,Histone deacetylase (EC 3.5.1.98),HDAC1 AWC38_SpisGene6760,Stylophora pistillata (Smooth cauliflower coral),614,,nucleus [GO:0005634],nucleus [GO:0005634]; NAD-dependent histone deacetylase activity (H3-K14 specific) [GO:0032041],NAD-dependent histone deacetylase activity (H3-K14 specific) [GO:0032041],GO:0005634; GO:0032041,,,PF00850;,A0A2B4SH89
A0A2B4SCK3,A0A2B4SCK3_STYPI,unreviewed,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",Mccc2 AWC38_SpisGene8204,Stylophora pistillata (Smooth cauliflower coral),902,,,ligase activity [GO:0016874],ligase activity [GO:0016874],GO:0016874,,,PF01039;,A0A2B4SCK3
A0A2B4S719,A0A2B4S719_STYPI,unreviewed,Phosphatidylserine decarboxylase proenzyme 3,psd3 AWC38_SpisGene9643,Stylophora pistillata (Smooth cauliflower coral),483,phospholipid biosynthetic process [GO:0008654],,phosphatidylserine decarboxylase activity [GO:0004609]; phospholipid biosynthetic process [GO:0008654],phosphatidylserine decarboxylase activity [GO:0004609],GO:0004609; GO:0008654,,,PF02666;PF12588;,A0A2B4S719
A0A2B4R268,A0A2B4R268_STYPI,unreviewed,Ubiquitin carboxyl-terminal hydrolase CYLD,CYLD AWC38_SpisGene24424,Stylophora pistillata (Smooth cauliflower coral),478,,,hydrolase activity [GO:0016787],hydrolase activity [GO:0016787],GO:0016787,,,PF01302;,A0A2B4R268
